question,position,jobTitle,company,year,Subject,Model Answer,Hint Suggestion,Approach Suggestion
How would you handle a late feature request that could impact your schedule?,Software Engineer,Engineering Manager,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you handle a late feature request that could impact your schedule?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the process of inheritance in C++?,Software Engineer,Software Engineer,NVIDIA,2015,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the process of inheritance in C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How familiar are you with operating system concepts in C?,Systems Engineer,Systems Engineer,NVIDIA,2022,Operating System,"An Operating System is system software that manages hardware resources, memory, processes and files.
It acts as an interface between user and hardware and runs application programs.
Examples: Windows, Linux, Android.",Identify the main concept in: 'How familiar are you with operating system concepts in C?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss a time when you had to overcome a challenging situation at work?,SysOps Engineer,Cloud Platform Software Engineering,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss a time when you had to overcome a challenging situation at work?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time when you worked effectively in a team?,SysOps Engineer,Cloud Platform Software Engineering,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time when you worked effectively in a team?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the difference between private and protected access modifiers?,Software Engineer,Software Engineer(Internship),NVIDIA,2017,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'Can you explain the difference between private and protected access modifiers?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain Generative Adversarial Networks?,Solutions Engineer,Solutions Architect,NVIDIA,2017,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Can you explain Generative Adversarial Networks?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is more important to you in a game - graphics or functionality?,Gaming Engineer,QA Analyst/Game Tester,NVIDIA,2017,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What is more important to you in a game - graphics or functionality?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you implement an algorithmic problem in C++?,Software Engineer,Software Engineer,NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you implement an algorithmic problem in C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How to sort an array of characters?,Software Engineer,User Experience Software Engineer Internship,NVIDIA,2013,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How to sort an array of characters?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss basic electronics concepts?,Systems Engineer,Systems Engineer,NVIDIA,2013,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss basic electronics concepts?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe the process of reversing the bits of a given integer?,Software Engineer,Software Engineer,NVIDIA,2012,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe the process of reversing the bits of a given integer?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you optimize a long if-else tree?,Software Engineer,Software Engineer,NVIDIA,2012,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you optimize a long if-else tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Can you explain the differences between std::array, std::list, and std::vector?",Software Engineer,Software Engineer,NVIDIA,2017,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.","Identify the main concept in: 'Can you explain the differences between std::array, std::list, and std::vector?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you design a REST API for an e-commerce website?,SysOps Engineer,Senior/Cloud Software Engineer - Java (GTS Group),NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you design a REST API for an e-commerce website?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you find the connection node of two linked lists that are connected at the end?,Software Engineer,Software Developer,NVIDIA,2023,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How do you find the connection node of two linked lists that are connected at the end?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the pros and cons of using recursion for reversing strings?,Software Engineer,Software Engineer,NVIDIA,2013,Operating System,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain the pros and cons of using recursion for reversing strings?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you ever encountered a situation where you had to resolve a conflict within a team?,Software Engineer,Software Engineering,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Have you ever encountered a situation where you had to resolve a conflict within a team?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how you would design a memory allocator?,Software Engineer,Software Engineering,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how you would design a memory allocator?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a situation where you encountered a problem at work and how you resolved it.,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a situation where you encountered a problem at work and how you resolved it.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the technical skills you possess that are relevant to this role?,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the technical skills you possess that are relevant to this role?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain what LTE power headroom is?,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain what LTE power headroom is?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Why is batch normalization important?,Software Engineer,Software Engineer New Grad,NVIDIA,2020,DBMS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Why is batch normalization important?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Compare BERT and GPT.,Software Engineer,Software Engineer New Grad,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Compare BERT and GPT.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How to detect the horizon in a self-driving car environment?,Software Engineer,Software Engineer New Grad,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How to detect the horizon in a self-driving car environment?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain quantization in machine learning.,Software Engineer,Software Engineer New Grad,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Explain quantization in machine learning.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Design a bidding system,Software Engineer,Software Engineer,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Design a bidding system'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how to use locks to manage threads?,Software Engineer,Software Engineer(Internship),NVIDIA,2024,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how to use locks to manage threads?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you prioritize tasks in a high-pressure environment?,Software Engineer,Senior Software Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you prioritize tasks in a high-pressure environment?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write a function for a Binary Tree?,Software Engineer,Software Engineer,NVIDIA,2016,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you write a function for a Binary Tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Are you familiar with object-oriented programming?,Software Engineer,Software Engineer- Early Career,Accenture; JPMorgan Chase & Co.; NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Are you familiar with object-oriented programming?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you scale a machine learning system?,SysOps Engineer,Cloud Architect,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you scale a machine learning system?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you ensure the new brand identity does not make it look like the company is lessening its commitment to the existing product line?,Product Manager,Senior Product Manager,NVIDIA,2011,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you ensure the new brand identity does not make it look like the company is lessening its commitment to the ex'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you handle a situation where there is no marketing budget available for creating the new brand identity?,Product Manager,Senior Product Manager,NVIDIA,2011,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you handle a situation where there is no marketing budget available for creating the new brand identity?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your level of experience with Perl?,QA/Testing,Systems Level Test Engineer,NVIDIA,2011,General CS,"Your level of experience with perl is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your level of experience with Perl?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you participated in coding tests on platforms like Hackerrank?,Software Engineer,Software Engineer,NVIDIA,2024,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Have you participated in coding tests on platforms like Hackerrank?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Differentiate between class and structure.,Systems Engineer,Systems Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Differentiate between class and structure.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are Enum and constants in programming?,Systems Engineer,Systems Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are Enum and constants in programming?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Write a function that takes a string as input and returns all permutations of that string without using any inbuilt packages.,Solutions Engineer,Solutions Architect,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Write a function that takes a string as input and returns all permutations of that string without using any inbuilt pack'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide example case studies on data modeling?,Software Engineer,Senior Software Engineer,NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide example case studies on data modeling?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the purpose of Merge sort and how does it work?,Software Engineer,Software Engineer(Internship),NVIDIA,2018,General CS,"The purpose of merge sort and how does it work is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is the purpose of Merge sort and how does it work?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how Android OAuth works?,Software Engineer,Software Engineer(Internship),NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how Android OAuth works?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What does a decision tree entail?,ML & Data,Machine Learning Scientist,NVIDIA,2015,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What does a decision tree entail?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain what LAR is?,ML & Data,Machine Learning Scientist,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain what LAR is?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you write the source file compilation in a makefile?,Systems Engineer,Verification System Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you write the source file compilation in a makefile?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe how you would fix parts of the app that aren't properly using the API?,Frontend Developer,Senior Frontend Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe how you would fix parts of the app that aren't properly using the API?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you handle working on legacy technology if given a task in this role?,Full Stack Developer,Full Stack Developer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you handle working on legacy technology if given a task in this role?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you handle last minute changes suggested by stakeholders after presenting a product in an agile team?,Full Stack Developer,Full Stack Developer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you handle last minute changes suggested by stakeholders after presenting a product in an agile team?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you recreate a given design of a page in HTML and CSS?,Frontend Developer,Senior Frontend Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you recreate a given design of a page in HTML and CSS?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between OSS-Fuzz and RESTLer and when to use one versus another?,Cybersecurity Engineer,System Software Security Engineer,NVIDIA,2024,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between OSS-Fuzz and RESTLer and when to use one versus another?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your level of experience with AWS?,Full Stack Developer,Full Stack Software Engineer,NVIDIA,2024,General CS,"Your level of experience with aws is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your level of experience with AWS?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you learn Kubernetes?,Software Engineer,Software Engineer(Internship),NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you learn Kubernetes?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How did you improve the RAG system in your previous internship?,Solutions Engineer,Solutions Architect,NVIDIA,2024,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'How did you improve the RAG system in your previous internship?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have any experience with Nvidia Nsight tool?,Solutions Engineer,Solutions Architect,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have any experience with Nvidia Nsight tool?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What type of tests did you undergo during the interview process?,Software Engineer,Software Engineering,NVIDIA,2024,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What type of tests did you undergo during the interview process?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write down the pseudo code or code for Quick sort?,Full Stack Developer,Full Stack Developer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you write down the pseudo code or code for Quick sort?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your experience with graphs and greedy algorithms?,Software Engineer,Software Engineer(Internship),NVIDIA,2023,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain your experience with graphs and greedy algorithms?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you worked with partitioning and string manipulation before?,Software Engineer,Software Engineer(Internship),NVIDIA,2023,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Have you worked with partitioning and string manipulation before?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the difference between a hashtable and a LinkedList?,Software Engineer,Software Engineer,NVIDIA,2020,DSA,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'Can you explain the difference between a hashtable and a LinkedList?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss the performance and tradeoffs of various techniques in C++?,Software Engineer,Senior Software Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss the performance and tradeoffs of various techniques in C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"In generic O(n^3) matrix multiplication, how could you parallelize the process?",Software Engineer,Linear Algebra Libraries SWE Intern,NVIDIA,2021,Operating System,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.","Identify the main concept in: 'In generic O(n^3) matrix multiplication, how could you parallelize the process?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you explain how to use a 1D convolutional layer to solve this problem?,Software Engineer,Software Engineer Intern,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how to use a 1D convolutional layer to solve this problem?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you swap every two bits of an unsigned char c?,Software Engineer,Graphics Software Engineer,NVIDIA,2012,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you swap every two bits of an unsigned char c?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the overall booting process of a system in detail?,QA/Testing,Software QA Engineer,NVIDIA,2012,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the overall booting process of a system in detail?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you extend the project to improve it?,Software Engineer,Software Engineer,NVIDIA,2012,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you extend the project to improve it?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your understanding of implementation and optimization?,Software Engineer,Software Engineer,NVIDIA,2012,General CS,"Your understanding of implementation and optimization is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your understanding of implementation and optimization?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Can you explain your experience with data structures, algorithms, C++, and the STL?",Software Engineer,CAD Software Engineer,NVIDIA,2012,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Can you explain your experience with data structures, algorithms, C++, and the STL?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"Can you describe your experience with netlist design and operations, including traversals?",Software Engineer,CAD Software Engineer,NVIDIA,2012,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Can you describe your experience with netlist design and operations, including traversals?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
What is the difference between a Mealy and Moore machine?,QA/Testing,Undergraduate Testing and Verification Engineer,NVIDIA,2021,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between a Mealy and Moore machine?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What kind of experience do you have working in a team leader role?,Software Engineer,Software Engineer(Internship),NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What kind of experience do you have working in a team leader role?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you handle multi-threading issues on a machine with multiple CPUs and GPUs?,Software Engineer,Senior Software Engineer,NVIDIA,2023,Operating System,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'How do you handle multi-threading issues on a machine with multiple CPUs and GPUs?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Discuss how to refactor matrix multiplication for upper triangular matrices assuming square matrices.,Software Engineer,Linear Algebra Libraries SWE Intern,NVIDIA,2021,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Discuss how to refactor matrix multiplication for upper triangular matrices assuming square matrices.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain a time when you had to solve an algorithm question using bitwise operations?,Software Engineer,Software Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain a time when you had to solve an algorithm question using bitwise operations?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how you would determine if a string of brackets is valid or not?,Software Engineer,Software Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how you would determine if a string of brackets is valid or not?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Can you discuss your previous projects, papers, and contributions?",Software Engineer,Software Engineering Intern,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Can you discuss your previous projects, papers, and contributions?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you explain the scrum/sprint process?,Frontend Developer,Front End Engineer,NVIDIA,2015,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the scrum/sprint process?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do binary search trees work and what are their advantages?,Software Engineer,Software Engineer,NVIDIA,2015,DSA,"Advantages:
• Improves efficiency
• Reduces manual effort
• Reliable and scalable",Identify the main concept in: 'How do binary search trees work and what are their advantages?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe the functionality of IOCTL?,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe the functionality of IOCTL?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss your most challenging project from your resume?,Software Engineer,Software Engineer,NVIDIA,2014,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss your most challenging project from your resume?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is a recursive function in C?,Solutions Engineer,Automotive Chip Solution Engineer,NVIDIA,2013,General CS,"A recursive function in c is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is a recursive function in C?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the concept of virtual memory?,ML & Data,Computer Vision Software Engineer,NVIDIA,2013,General CS,"The concept of virtual memory is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is the concept of virtual memory?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are primary and foreign keys in SQL?,Data Engineer,Data Engineer,Citi; NVIDIA,2023,DBMS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are primary and foreign keys in SQL?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe how you would approach solving a binary maze problem?,ML & Data,Computer Vision,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe how you would approach solving a binary maze problem?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What version of Python did you use and why?,Software Engineer,Software Engineer New Grad,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What version of Python did you use and why?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you handle error metrics in train and test data?,Software Engineer,Senior Software Engineer,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you handle error metrics in train and test data?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are the stability criteria for discrete systems?,Software Engineer,Software Engineer - Controls,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are the stability criteria for discrete systems?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Design a matrix class with support for adding and multiplying operations.,ML & Data,Computer Vision Engineer,NVIDIA,2019,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Design a matrix class with support for adding and multiplying operations.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you convert this matrix class for sparse matrix?,ML & Data,Computer Vision Engineer,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you convert this matrix class for sparse matrix?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your domain knowledge in autonomous driving?,Product Manager,"Product Manager Intern, AI",NVIDIA,2019,General CS,"Your domain knowledge in autonomous driving is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your domain knowledge in autonomous driving?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience in large scale software development projects?,Software Engineer,Senior Software Engineer,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience in large scale software development projects?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience working with GPUs?,Software Engineer,Senior Software Engineer,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience working with GPUs?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe the concept of virtual memory?,Software Engineer,Software Engineer(Internship),NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe the concept of virtual memory?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How can you accelerate machine learning with a GPU?,Software Engineer,Software Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How can you accelerate machine learning with a GPU?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you find the number of set bits?,Software Engineer,Senior Software Engineer,NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you find the number of set bits?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience with smart pointers in Modern C++?,Software Engineer,Senior Software Engineer,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience with smart pointers in Modern C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do virtual functions work in Modern C++?,Software Engineer,Senior Software Engineer,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do virtual functions work in Modern C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
